"GL_CODE","GL_DESC"
"1000000A1","CAPITAUX PERMANENTS"
"2000000A1","COMPTE DE VALEURS IMMOB"
"3000000A1","COMPTED OPS AVEC LA CLIENTLE"
"4000000A1","COMPTE DE TIERS ET DE REGUL"
"5000000A1","CPTE DE TROPS INTERBANC"
"6000000A1","COMPTES DE CHARGES"
"7000000A1","COMPTES DE PRODUITS"
"8000000A1","SOLDES CARACTERISTIQUES DE GESTION"
"9000000A1","COMPTES DE HORS BILAN"
"1000000A2","CAPITAUX PERMANENTS"
"1100000A2","PRIMES LIEES AU CAPITAL"
"1110000A3","PRIMES D EMISSION"
"1120000A3","PRIMES D APPORTS"
"1130000A3","AUTRES PRIMES LIÉES AU CAPITAL"
"1200000A2","RESERVES"
"1210000A3","RESERVES LEGALES"
"1220000A3","RESERVES STATUAIRES/CONTRACTUELLES"
"1230000A3","RESERVES FACULTATIVES"
"1300000A2","REPORT A NOUVEAU"
"1310000A3","BENEFICES NON AFFECTEES"
"1320000A3","PERTES NON COMPENSEES"
"1400000A2","PROVS SPEC. ET RESERV REGLEMENTEES"
"1410000A3","AMORTISSEMENTS DÉROGATOIRES"
"1420000A3","ECARTS DE RÉEVAL IMMO AMORTISSABLES"
"1430000A3","ECARTS DE RÉEVAL IMMO NON AMORTBLES"
"1440000A3","ECARTS DE RÉEVALUATION DES CRÉANCES"
"1450000A3","PLUS VALUE DE CESSION À REINVESTIR"
"1500000A2","SUBVENTIONS D INVESTISSEMENT"
"1510000A3","SUBV EN VUE DE L INVESTISSEMENT"
"1600000A2","FONDS DE FINANCEMENT ET DE GARANTIE"
"1610000A3","FONDS AFFECTES"
"1611000A4","FOND AFFECT DE BONIFICAT DES INTS"
"1612000A4","FONDS AFFECT DE GTIE DES AVALS"
"1613000A4","FONDS AFFECT DE FIN DES ÉTUDES"
"1614000A4","FONDS AFFECT DE FIN DES PARTS"
"1615000A4","AUTRES FONDS AFFECTES"
"1620000A3","FONDS D AFFECTATION"
"1621000A4","FONDS D AFFECT DE BONIFI DES INTS"
"1622000A4","FONDS D AFFECT DE GTIE DES AVALS"
"1623000A4","FONDS D AFFECT DE FIN DES ÉTUDES"
"1624000A4","FONDS D AFFECT DE FIN DES PARTS"
"1625000A4","AUTRES FONDS D AFFECTATION"
"1630000A3","FONDS DE GARANTIE MUTUELS"
"1700000A2","EMPRUNTS OBLIGATAIRES"
"1720000A3","OBLIGATIONS ECHUES À REMBOURSER"
"1730000A3","PRIME DE REMBT DES EMPT OBLIGAT"
"1790000A3","DETTES RATTACHÉES"
"1800000A2","AUTRES RESSOURCES PERMANENTES"
"1010000A3","CAPITAL SOCIAL"
"1820000A3","DETTES SUBORDONNÉES"
"2152000A4","TERRAINS EN LOCATION"
"1020000A3","FONDS DE DOTATIONS"
"2190000A3","AUTRES TERRAINS"
"1030000A3","ACTIONNAIRE RESTANT DU SUR CAPITAL"
"1031000A4","CAPITAL SOUSCRIT NON APPELE"
"2200000A2","AUTRES IMMOB CORPOR EN SERVICE"
"1032000A4","CAPITAL APPELE NON VERSE"
"2210000A3","IMMEUBLES D EXPLOITATION"
"1033000A4","ACTIONNAIRES DEFAILLANTS"
"2220000A3","IMMEUBLE EN LOCATION SIMPLE"
"1040000A3","ACTIONS PROPRE DETENUES"
"2230000A3","IMM AFFECT CRD-BAIL, LOC AV OPT ACH"
"2231000A4","IMMEUBLES EN LOCATION"
"2232000A4","IMMEUBLES NON LOUÉS"
"2240000A3","IMMEUBLES ACQUIS PAR ADJUDICATION"
"2250000A3","MATÉRIEL ET MOBILIER D EXPLOITATION"
"2260000A3","MAT ET MOB EN LOCATION SIMPLE"
"2270000A3","MAT MOB AFF CRD BAIL LOC AV OPT ACH"
"2271000A4","MATÉRIEL ET MOBILIER EN LOCATION"
"2272000A4","MATÉRIEL ET MOBILIER NON LOUÉS"
"2280000A3","MAT ET MOB ACQUIS REAL GTIE"
"2290000A3","AUTRES IMMOBILISATIONS CORPORELLES"
"2300000A2","AUTRES IMMOB. CORP. EN COURS"
"2310000A3","IMMEUBLES D EXPLOITATION"
"2320000A3","IMMEUBLES EN LOCATION SIMPLE"
"2330000A3","IMM DEST CRD-BAIL, LOC AVC OPT ACH"
"2350000A3","MATÉRIEL ET MOBILIER D EXPLOITATION"
"2360000A3","MAT ET MOB EN LOCATION SIMPLE"
"2370000A3","MAT MOB DEST CRD-BAIL, LOC OPT ACH"
"2390000A3","AUTRES IMMOBILISATIONS CORPORELLES"
"2400000A2","AVCE ET ACPTE SUR COM IMMOBS"
"2410000A3","AVCE ACPTE SUR IMM D EXPLOIT"
"2420000A3","IMMEUBLES EN LOCATION SIMPLE"
"2450000A3","AVANCESACOMPTE MATERIEL  MOBILIER"
"2500000A2","DEPOTS ET CAUTIONNEMENTS"
"2510000A3","DEPOTS ET CAUTIONNEMENTS VERSÉS"
"2600000A2","TITRES DE PART, AUTRES IMMOBILISES"
"2610000A3","DOT DES SUCCURSALES À L ETRANGER"
"2620000A3","ACTIONS ET PARTS D ETS DE CREDIT"
"2630000A3","AUTRES TITRES DE PARTICIPATION"
"2640000A3","TITRES PUBLICS IMMOBILISES"
"2650000A3","TITRES D INVESTISSEMENTS"
"2651100A5","TITRES D'INVESTISSEMENTS PRIVÉS ADMIS EN GARANTIE DES REFINANCEMENTS DE LA BEAC"
"2651200A5","AUTRES TITRES D'INVESTISSEMENT PRIVÉS"
"2652000A4","TITRES D’INVESTISSEMENT PUBLICS "
"2652100A5","TITRES D'INVESTISSEMENTS PUBLICS ADMIS EN GARANTIE DES REFINANCEMENTS DE LA BEAC"
"2910000A3","TERRAINS"
"2652200A5","AUTRES TITRES D'INVESTISSEMENT PUBLICS"
"2660000A3","TITRES EN SOUFFRANCE"
"2661000A4","TITRES IMPAYÉS"
"2662000A4","TITRES DOUTEUX"
"2670000A3","AVANCES EN COMPTES COURANTS"
"2671000A4","AVANCES EN COMPTES COURANT ETS CREDIT CEMAC"
"2672000A4","AUTRES AVANCES EN COMPTES COURANTS "
"2680000A3","CREANCES RATTACHEES TITRES"
"2700000A2","PRETS ET TITRES A SOUSC OBLIGATOIRE"
"2710000A3","BONS D ÉQUIPEMENT ET ASSIMILÉS"
"2720000A3","CREANCES TITRISÉES SUR L ETAT"
"2721000A4","CRÉANCES SÉCURISÉES"
"2722000A4","AUTRES CRÉANCES"
"2730000A3","AUT PRETS TITRES À SOUSCRIP OBLIGAT"
"2760000A3","PRETS ET TITRES IMPAYÉS"
"2780000A3","CREANCES RATTACHÉES"
"2800000A2","AMORTISSEMENTS"
"2800000A3","AMORTISSEMENTS"
"2801000A4","FRAIS IMMOBILISÉS"
"2801100A5","FRAIS RELATIF AU PACTE SOCIAL"
"2801200A5","FRAIS EMISSIONS DES EMPRUNTS"
"2801300A5","FRAIS AQUISITION IMMOBILISATION"
